index	score	sentence1	sentence2
1990	4.4	ایک بڑا ٹین کتا اپنے منہ میں سبز رنگ کی چیز لے کر دوڑ رہا ہے	ٹین کتا اپنے منہ میں سبز رنگ کا کھلونا اٹھا رہا ہے ۔
1991	0	کشتیوں میں سوار لوگوں کا ایک گروہ ساحل کی طرف دوڑ رہا ہے ۔	پریزنٹیشن دیکھ رہے طلباء کا ایک کلاس روم ۔
1992	0.6	ایک شخص ریمپ کے اوپر ہوا میں اسکیٹ بورڈ پر سوار ہے ۔	ایک بائیکر ایک ٹریک عنصر کے ساتھ سواری کر رہا ہے جو جنگل والے علاقے میں واقع ہے ۔
1993	0	ایک لڑکا رات کو دھاتی ہینڈریل سے نیچے سکیٹ بورڈز کرتا ہے ۔	ایک بھورا کتا چھڑی پکڑ کر ریت پر دوڑتا ہے ۔
1994	0	ایک شخص چٹان کے چہرے میں موجود ایک تنگ راستے سے گزر رہا ہے ۔	ایک درمیانے درجے کا بھورا کتا کھلے سفید جنگل والے علاقے سے گزر رہا ہے ۔
1995	2	کتا اپنے منہ میں گیند لے کر کیمرے کی طرف دوڑ رہا ہے ۔	کالا اور سفید کتا اپنے منہ میں بھوری رنگ کی چیز لے کر تیرتا ہے ۔
1996	4.2	ایک نوجوان لڑکی ساحل پر دوڑ رہی ہے ۔	ایک چھوٹی سی لڑکی ساحل کے کنارے پر دوڑ رہی ہے ۔
1997	1.6	بیس بال کا کھلاڑی گیند پھینکتا ہے ۔	باسکٹ بال کا کھلاڑی گیند کو تھامے ہوئے ہے ۔
1998	3	ایک آدمی پانی کے اوپر رسی پر جھول رہا ہے ۔	مرون رنگ کے نہانے کے سوٹ میں ایک آدمی جھیل پر رسی پر جھول رہا ہے ۔
1999	1	منی ماؤس کا لباس پہنے ہوئے ایک نوجوان لڑکی اور ایک بڑی عمر کی عورت فٹ پاتھ سے نیچے چل رہی ہے ۔	سفید سوٹ پہنے ہوئے ایک شخص کے ہاتھ میں اخبار ہے جو سڑکوں پر چل رہا ہے ۔
2000	3	حقیقی صحت کے ماہرین کی کچھ شہادتوں کے بارے میں کیا خیال ہے ؟	یہ بھی تو سوال ہے کہ کون کہتا ہے کہ وہاں "حقیقی" صحت کے ماہرین کی گواہیاں موجود نہیں ہیں؟
2001	0.8	" تب کپتان چلا گیا ۔	پھر کپتان واپس آیا ۔
2002	3.8	مسئلہ اس سے زیادہ آسان ہے ۔	مسئلہ سادہ ہے ۔
2003	1	منفی جاسوسی کی ضروریات ۔	پیسفک ضروریات ۔
2004	0.4	تو میں آپ سے یہ سوال پوچھنے کے لیے چھوڑ رہا ہوں : " مارکس کہاں ہے ؟ "	میں آپ سے یہ سوال کرنے کے لیے آگے بڑھ رہا ہوں : " گائے کا گوشت کہاں ہے ؟ "
2005	4.6	سمجھنے کی کوشش کریں، کیا آپ مجھ سے کسی منفی بات کو ثابت کرنے کے لیے کہہ رہے ہیں؟	آپ مجھ سے منفی ثابت کرنے کے لیے کہہ رہے ہیں
2006	5	میں طبی استعمال کے ساتھ ٹھیک ہوں	میں طبی استعمال کے ساتھ ٹھیک ہوں
2007	2	افراط زر کی وجہ سے آپ کو درکار ہر چیز کی قیمتیں بڑھ گئی ہیں ۔	آپ کے آئی ای اثاثوں کی ہر چیز کی قیمتیں کم ہو گئی ہیں ۔
2008	5	مشرق وسطی میں جنگ ۔	مشرق وسطی میں ایک جنگ ۔
2009	0.6	اصل میں ویانا کی طرف سے پوسٹ کیا گیا: یہ کس طرح آمرانہ تھا؟	اصل میں پوسٹ کیا گیا از ظفر میں ہار مانتا ہوں ۔
2010	1	کسی ایسی جگہ کا تصور کریں جو % سفید اور % سیاہ ہو ۔	ایک ایسی جگہ کا تصور کریں جہاں % مرد اور % خواتین ہوں ۔
2011	5	منصفانہ مقدمے کا کوئی امکان نہیں ہے ۔	منصفانہ مقدمے کی سماعت کا کوئی امکان نہیں ہے ۔
2012	3.6	نروان بھول جانے سے بہت مختلف ہے ۔	نروان فراموش نہیں ہے ۔
2013	4	ہم برطانیہ میں امریکیوں کے بارے میں مختلف سوچتے ہیں ۔	اصل میں زاف کی طرف سے پوسٹ کیا گیا: ہم برطانیہ میں امریکیوں سے مختلف سوچتے ہیں ۔
2014	3.1	اگر آپ کا جواب ہاں اور نہیں میں ہے تو شاید آپ سیدھے ہیں ۔	اگر آپ کا جواب نہیں لیکن ہاں میں ہے تو آپ شاید سیدھے ہیں ۔
2015	2.2	پوری زمین مل کر اربوں لوگوں کے لیے کافی خوراک پیدا کرتی ہے ۔	اب یہ صرف اربوں لوگوں کے لیے ہی کافی خوراک کیوں پیدا کرتا ہے؟
2016	3.2	ویسے، اس کے پاس اس وقت کے لیے مناسب التواء موجود تھے ۔	وقت کے لیے مناسب موخریاں
2017	4.4	ہیلو بلیو آئیز لندن میں چیزیں کیسی ہیں	ہیلو بلیو آئیز لندن میں چیزیں کیسی ہیں
2018	2.2	لیکن خبروں کی نشریات میں میں نے دیکھا ہے کہ انہوں نے اسے سفید ہی کہا تھا ۔	لیکن ایسا لگتا ہے کہ اس کا اثر کم ہوتا اگر وہ اسے سفید نہ کہتے ۔
2019	2.4	گرل فرینڈ اور زیمرمین کے مطابق اس نے کیا ۔	زیمرمین کے مطابق اس نے کیا ۔
2020	2.8	میرے والدین نے مجھے بتایا ہے کہ یہ آپ کے لیے برا ہے ۔	میرے اساتذہ نے مجھے بتایا ہے کہ یہ آپ کے لیے برا ہے ۔
2021	4.6	نازی این ایس ڈبلیو پی کے لیے ایک گستاخانہ اصطلاح ہے ۔	اصل میں اوڈنز آئی کی طرف سے پوسٹ کیا گیا ۔ نازی این ایس ڈبلیو پی کے لیے ایک گستاخانہ اصطلاح ہے ۔
2022	1	میں سزائے موت کی مخالفت کرتا ہوں ۔	اس لیے میں سزائے موت کی حمایت کرتا ہوں ۔
2023	2.2	ٹھیک ہے، جو بھی ہو، اب آپ کو اس کا علم ہے ۔	ٹھیک ہے جو کچھ بھی آپ اب اس سے واقف ہیں ۔
2024	2.2	وہ کوئی ایسی چیز پیدا نہیں کرتے جسے میں کھا سکوں، پہن سکوں، یا جس میں رہ سکوں ۔	ان تمام چیزوں کے بارے میں سوچیں جو آپ نہیں کھا سکتے یا اپنے اندر نہیں رہ سکتے ۔
2025	3.8	ڈک شاٹ میٹ ہالیڈے کا مالک ہے ۔	میٹ ہالیڈے آپ سب کے مالک ہیں ۔
2026	2.8	لوگوں نے قوانین کا استحصال کیا ۔	لوگوں نے قوانین کی خلاف ورزی کی ۔
2027	2.2	مضحکہ خیز بات یہ ہے کہ میں نے کسی ریاضی کے بارے میں بھی یہی سوچا ۔	اور یہاں میں نے سوچا کہ میں کچھ ریاضی جانتا ہوں ۔
2028	2.6	میرے پاس "نیینر نیینر" کے حقوق کے کئی سال ہیں، اور میں لیٹَس بھی استعمال کرتا ہوں ۔	میرے پاس کئی سال ہیں " نیئر نیئر رائٹس ہیلو وگیز "
2029	3	میں ہر چیز کو " تم یہودیوں سے نفرت کرتے ہو " کے ساتھ نہیں جوڑتا یا نہیں جوڑتا ۔	آپ کو ہر چیز کو پہلے سے جوڑنا یا اس کے ساتھ جوڑنا بند کر دینا چاہیے جس میں آپ یہودیوں سے نفرت کرتے ہیں ۔
2030	4.8	میں اس سے پوچھ لیتا کہ کیا وہ تھری سم کے لیے تیار ہے ۔	میں کم از کم یہ تو پوچھتا کہ کیا تھری سم بالکل ہی ممکن نہیں ہے ۔
2031	1.4	اس کا اب بھی کوئی مطلب نہیں ہے ۔	یہ آپ ہی ہیں جن کا کوئی مطلب نہیں ہے ۔
2032	1.2	زیادہ مہنگے مکانات ۔	زیادہ مہنگی کاریں ۔
2033	0.8	مارٹن نے کہا " تم مجھے کیوں فالو کر رہے ہو ؟ "	زیمرمین نے جواب دیا " تم یہاں کیا کر رہے ہو ؟ "
2034	2	ٹی اے ایف بی اور ایس اے بی سے تمام سیٹلائٹ کی حساسیت کے اشارے صرف ٹی ہیں ۔	ٹی اے ایف بی اور ایس اے بی کی جانب سے سبجیکٹو ڈیوورک شدت کے اندازے بڑھا کر KT کر دیے گئے ہیں -
2035	1.2	" میلے موجود نہیں ہیں - ٹھیک ہے ۔	" ستیر موجود نہیں ہیں - ٹھیک ہے ۔
2036	2.8	آپ جاننا چاہتے ہیں کہ مجھے کیا تجسس ہے ۔	یہی بات مجھے تجسس میں ڈالتی ہے ۔
2037	2.6	میں نے ہم جنس پرستی کا موازنہ ترقیاتی عارضے سے کب کیا ؟	میں نے ہومو فوبیا کا موازنہ ایک ترقیاتی عارضے سے کیا ۔
2038	2.6	اگر آپ نے پوچھا تو قدامت پسندوں کے اعداد دائیں طرف موڑ دیے جائیں گے ۔	اگر آپ ترقی پسندوں سے پوچھیں تو اعداد بائیں طرف جھک جائیں گے ۔
2039	0.8	آپ نے اس ایک پوسٹ سے پہلے پی ایف اے کا ذکر نہیں کیا تھا ۔	میں نے روک تھام کے حکم کا بھی ذکر نہیں کیا ۔
2040	2.4	ریمبلن'روز بذریعہ نیٹ کنگ کول ہم تمام برتن ہیں جو بہت سے عجائبات سے بھرے ہوئے ہیں ۔	شیر کی آنکھ ہم سب بہت سے عجائبات سے بھرے برتن ہیں ۔
2041	3	پچھلے سال سے ۔	پچھلے سال کے مقابلے میں گرم، ڈگری سیلسیس میں ۔
2042	1	اب بھی اس شو سے محبت ہے ۔	ارے واہ، یہ شو!
2043	3.2	ان کی وسیع املاک حکومت کے ذریعے محفوظ ہیں ۔	ان کی بڑی دولت حکومت کے ذریعے محفوظ ہے ۔
2044	4.6	برائے مہربانی بنیادی فرق	بنیادی فرق
2045	1.4	پہلی جنگِ عظیم کی حماقت کے لیے جرمنی کو آخر کس طرح "سزا" دی جا رہی ہے؟	انہیں کس طرح سزا دی جا رہی ہے ؟
2046	3	زیڈ نے اس کا پیچھا کیا اور پھر اسے گولی مار دی ۔	آپ نے دعوی کیا کہ زیمرمین نے " اس کا پیچھا کیا اور پھر اسے گولی مار دی " ۔
2047	5	میں ناراض نہیں ہوں ۔ میں مایوس ہوں ۔	خدا کرے میں ناراض نہیں ہوں ۔ میں مایوس ہوں ۔
2048	0.8	ہم پہلی جگہ میں اس سے باہر کبھی نہیں ملا	سب سے پہلے پیسہ کہاں سے آتا ہے ؟
2049	2.111111111	اظہار رائے کی آزادی کے نتائج ہیں	اگر اظہار رائے کی آزادی کے نتائج ہوتے ہیں تو یہ آزاد نہیں ہے ۔
2050	2.8	میرے والدین نے مجھے بتایا ہے کہ یہ آپ کے لیے برا ہے ۔	میرے اساتذہ نے مجھے بتایا ہے کہ یہ آپ کے لیے برا ہے ۔
2051	2	اگر آپ چار کو بچانے کے لیے ایک شخص کو مار سکتے ہیں تو کیا آپ کریں گے ؟	میں بچانے کے لیے کسی کو مار دوں گا ، مجھے کوئی اندازہ نہیں ہے ۔
2052	1.1	یہ اخلاقیات کو مسلط نہیں کر رہا ہے ۔	یہ ایک قانون نافذ کر رہا ہے ۔
2053	5	یہ اس بات پر منحصر ہے کہ آپ کس طرح انتہا پسندی کی تعریف کرتے ہیں ۔	یہ اس بات پر منحصر ہے کہ آپ " ایکسٹریم " کی تعریف کیسے کرتے ہیں ۔
2054	1.2	کم از کم میکسیکو کی کیلیفورنیا میں موجودگی تھی ۔	میکسیکو کا کیلیفورنیا پر صفر دعوی ہے ۔
2055	3	تو ہاں ہم عیسائیت کے بارے میں جاننے کے لیے بائبل پڑھتے ہیں ۔	ذاتی طور پر میں عیسائیت کے بارے میں جاننے کے لیے بائبل پڑھوں گا ۔
2056	4.5	آہ ہا ہا ہا ہا ہا ہا ہا	ہا ہا ہا ہا ہا ہا ہا ہا ہا
2057	3.4	اور اسی لیے آپ مجھ پر چیخ رہے ہیں اور میرے سوالات کا جواب دینے سے انکار کر رہے ہیں ۔	اب بھی میرے سوالات کا جواب دینے سے انکار کر رہے ہیں ۔
2058	3.8	آپ کے پاس بہت زیادہ ضابطے ہیں - بہت کم نہیں ۔	آپ کو آزاد بازاروں میں بہت زیادہ مداخلت کرنی ہوگی - بہت کم نہیں ۔
2059	4	انسانی عنصر آپ سال کے آخر میں لانس برکمین کو سائن کر سکتے ہیں مجھے لگتا ہے کہ	آپ سال کے آخر میں لانس برکمین کو سائن کر سکتے ہیں مجھے لگتا ہے کہ
2060	2.6	تھامس کی کتاب کو کینن سے کیوں چھوڑ دیا گیا ؟	یسوع کے مزید الفاظ کا اضافہ کینن کر سے باہر کیوں چھوڑا جائے گا
2061	1.8	آپ کا مطلب ہے کہ آپ مین اسٹریم میڈیا کے لفظ پر یقین رکھتے ہیں ۔	آپ کا مطلب ہے کہ آپ اسپرنگ ہال کنورٹ کرچل کے لفظ پر یقین رکھتے ہیں
2062	2.4	ہمارا مقصد دریافت کرنا ہے ۔	ہمارا مقصد حرکت کرنا ہے ۔
2063	3.4	اسرائیل کو بالکل بھی پرواہ نہیں، اسے قبول کر لو ۔	اسرائیل کو اس بات کی بالکل پرواہ نہیں کہ کوئی اور کیا سوچتا ہے ۔
2064	3.4	ہم سب بہت سے عجائبات سے بھرے برتن ہیں ۔	میں بوسہ دے کر راک اینڈ رول کرنا چاہتا ہوں ہم تمام برتن ہیں جو بہت سے عجائبات سے بھرے ہوئے ہیں ۔
2065	3.6	سلٹسٹامپ اوہائیو کے ایک عزیز دوست نے مجھے یہ بھیجا ۔	اوہائیو کے ایک عزیز دوست نے مجھے یہ بھیجا ہے ۔
2066	1.6	اور پھر بھی ٹائٹینک کی کہانی وہ ہے جو شواہد کی جانچ پڑتال کو برقرار رکھتی ہے ۔	نئی تحقیق سے پتہ چلتا ہے کہ ٹائٹینک کی کہانی جانچ پڑتال کے قابل نہیں ہے ۔
2067	3.2	کیا وہ واقعی گوگل ایڈ سینس سے پیسہ کما سکتا ہے ؟	گوگل ایڈ سینس سے کون پیسہ کماتا ہے
2068	4.6	وہ جانتے ہیں کہ ویڈیو میں گیس چیمبر نہیں دکھایا گیا ہے ۔	سب سے اہم بات یہ ہے کہ ویڈیو میں گیس چیمبر نہیں دکھایا گیا ہے ۔
2069	4.4	گرم، شاید ایک ریکارڈ ۔	گرم ، تقریبا یقینی طور پر ایک ریکارڈ ۔
2070	2.2	ذہین مگر منتشر ذہن" کو "دواؤں سے علاج" بنا دیا جاتا ہے ۔	رائے رکھنے والا اور ضدی" کو "دواؤں سے علاج" بنا دیا جاتا ہے ۔
2071	1.2	زندگی کی آپ کی تعریف کیا ہے ؟	آپ کی فطرت کی تعریف کیا ہے ؟
2072	2.2	بہت سی چیزیں ہو سکتی ہیں ۔	یہ ایک سادہ سی غلطی ہو سکتی ہے ۔
2073	3.8	کوئی بھتہ خوری نہیں ۔ کوئی رشوت نہیں ۔ کوئی رقم شامل نہیں ۔ وہ اپنے ووٹ کے لیے پیسے مانگ رہا ہے ۔	کوئی بھتہ خوری نہیں ۔ کوئی رشوت نہیں ۔ کوئی رقم شامل نہیں ۔ صرف کلاس ای کے جرائم ۔
2074	4	ڈاکٹر نینڈر کا نظر ثانی شدہ ورژن ۔	نینڈر کا نظر ثانی شدہ ورژن
